region,crop,crop_variety,season,soil_ph,soil_moisture_pct,nitrogen_N_mg_kg,phosphorus_P_mg_kg,potassium_K_mg_kg,rainfall_mm,temperature_c,farm_size_acres,yield_value,yield_unit,yield_category
Northern,Maize,Local,Major,6.94,71.5,92.5,28.3,167.7,992.1,29.7,1.64,7.4,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,6.18,48.3,101.9,59.5,171.9,1557.8,25.5,2.97,3068.5,kg_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,6.45,83.2,43.0,32.0,100.3,1031.1,26.1,3.7,5.22,bags_per_acre,Low
Eastern,Tomato,Local,Major,5.94,28.9,31.4,33.2,148.5,1419.4,27.3,4.31,1190.2,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,6.29,34.9,42.6,67.1,188.8,1199.3,27.5,0.5,8.39,bags_per_acre,Low
Ashanti,Tomato,Local,Major,6.03,74.3,57.6,25.7,84.1,1139.2,26.9,0.5,2196.7,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.39,54.4,89.7,49.7,156.8,688.9,27.5,1.38,7.29,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.13,37.2,90.7,34.7,128.6,1286.0,27.5,2.99,11.17,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,6.26,36.0,83.9,39.1,35.4,792.9,28.6,12.39,1581.8,kg_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,4.87,31.4,62.0,39.2,173.3,1428.1,27.8,2.16,1568.8,kg_per_acre,Low
Volta,Tomato,Pectomech,Minor,5.26,52.9,98.2,41.2,159.4,1098.8,24.9,0.5,2013.5,kg_per_acre,Low
Northern,Maize,Pioneer 30G19,Minor,5.66,43.2,92.0,20.3,177.3,807.8,29.8,0.59,9.06,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.94,73.4,136.8,37.2,59.7,1003.9,27.2,0.5,9.99,bags_per_acre,Low
Northern,Tomato,Local,Minor,7.32,45.2,54.0,47.2,218.4,958.3,31.4,3.36,1534.8,kg_per_acre,Low
Ashanti,Tomato,Pectomech,Major,5.71,34.4,82.1,76.4,29.3,1210.8,28.7,0.5,2509.4,kg_per_acre,Medium
Ashanti,Maize,Local,Minor,6.01,62.6,140.6,27.6,103.7,1572.4,28.1,2.66,10.26,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.97,75.2,70.9,51.1,141.7,950.2,28.3,0.74,11.32,bags_per_acre,Low
Northern,Tomato,Local,Minor,6.32,37.2,77.3,11.4,118.0,852.2,30.6,0.66,833.0,kg_per_acre,Low
Eastern,Maize,Local,Major,5.8,32.6,48.4,30.6,149.6,1148.6,27.3,0.5,7.6,bags_per_acre,Low
Eastern,Tomato,Local,Minor,5.58,61.2,56.5,37.8,225.9,1096.9,28.4,2.25,1793.3,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.37,60.4,84.2,71.5,134.4,1227.7,30.0,0.87,9.71,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.29,36.9,54.7,43.8,203.8,1096.5,28.6,0.71,15.36,bags_per_acre,Medium
Northern,Maize,Local,Major,6.07,43.3,59.6,17.7,168.1,734.7,29.1,2.45,4.55,bags_per_acre,Low
Eastern,Maize,Local,Major,5.67,31.2,103.5,25.4,194.6,1166.2,27.7,2.6,8.25,bags_per_acre,Low
Western,Tomato,Local,Minor,6.05,37.2,112.8,20.5,199.7,1586.4,25.6,3.05,1749.7,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.18,70.1,75.9,59.2,130.9,1284.7,29.6,5.31,17.79,bags_per_acre,Medium
Volta,Maize,Local,Major,5.81,23.1,71.0,25.7,214.0,1030.1,28.2,0.99,6.8,bags_per_acre,Low
Ashanti,Tomato,Local,Major,5.98,38.4,52.5,21.6,146.1,1366.3,23.1,3.57,1428.7,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Minor,7.01,65.6,107.6,48.5,120.8,873.3,27.9,6.96,15.12,bags_per_acre,Medium
Western,Tomato,Local,Major,6.5,47.9,38.9,42.5,140.9,2391.4,24.4,1.35,1934.9,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,4.88,55.5,43.8,41.4,150.6,1384.4,27.7,0.98,10.64,bags_per_acre,Low
Northern,Maize,Local,Minor,5.9,33.9,36.7,2.6,142.8,850.2,30.8,6.54,2.97,bags_per_acre,Low
Volta,Maize,Local,Major,6.56,26.9,128.3,16.7,152.1,1366.8,26.6,1.21,6.28,bags_per_acre,Low
Ashanti,Maize,Local,Major,6.54,43.3,109.2,89.6,150.8,1367.5,25.3,2.4,11.46,bags_per_acre,Low
Ashanti,Maize,Local,Minor,5.61,56.4,130.2,30.0,148.7,1658.3,27.3,1.29,9.71,bags_per_acre,Low
Northern,Tomato,Local,Major,6.18,68.9,95.6,41.9,193.5,882.7,32.6,0.5,1717.0,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.66,58.7,93.1,42.4,87.9,739.2,27.8,2.79,6.98,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.07,39.8,88.4,2.0,211.5,1602.9,28.4,5.44,1954.0,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.21,50.7,107.3,23.5,192.1,1173.4,28.0,2.31,15.2,bags_per_acre,Medium
Volta,Maize,Hybrid OPV,Major,6.49,20.1,49.7,7.9,118.9,1475.4,28.5,4.07,6.35,bags_per_acre,Low
Northern,Tomato,Pectomech,Minor,7.33,47.3,51.4,69.9,158.6,900.6,30.5,0.5,1981.2,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.71,86.8,75.8,52.5,232.0,875.5,30.5,0.5,10.26,bags_per_acre,Low
Northern,Tomato,Pectomech,Minor,7.7,47.1,63.5,31.8,112.6,1119.5,28.0,4.65,1805.6,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,5.81,58.4,57.5,21.8,96.0,1067.5,30.5,2.57,2647.6,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,5.37,35.8,177.0,2.0,154.0,983.5,27.3,0.5,2023.9,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.66,59.6,148.7,40.0,157.3,1467.1,28.2,3.39,17.75,bags_per_acre,Medium
Northern,Tomato,Local,Minor,7.28,47.1,133.4,27.3,81.5,759.2,27.9,0.65,1263.8,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.34,25.5,81.0,33.3,212.9,1275.4,28.5,4.09,2686.0,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Major,5.61,56.7,107.6,51.7,200.6,1817.2,23.8,0.84,15.1,bags_per_acre,Medium
Ashanti,Maize,Local,Minor,5.57,62.5,67.0,37.4,270.8,1382.7,28.2,0.5,8.79,bags_per_acre,Low
Northern,Tomato,Local,Major,6.59,73.0,121.8,2.0,72.0,947.3,26.8,1.08,1028.7,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.08,53.2,24.6,6.7,88.2,992.0,28.9,3.64,1920.0,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.9,44.3,40.6,36.3,87.1,1399.6,26.9,2.22,11.86,bags_per_acre,Low
Eastern,Tomato,Local,Minor,6.11,63.4,64.1,77.9,20.0,1157.0,24.9,0.5,1756.4,kg_per_acre,Low
Ashanti,Tomato,Local,Major,5.67,48.6,54.9,2.0,147.2,1720.8,24.1,3.41,1361.2,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.83,19.8,145.0,40.0,104.5,895.0,26.0,0.5,10.9,bags_per_acre,Low
Northern,Maize,Local,Major,6.33,50.2,69.4,53.0,90.4,822.2,28.4,4.08,6.69,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Minor,5.86,12.1,5.0,41.5,60.0,1108.3,25.6,2.53,4.12,bags_per_acre,Low
Northern,Maize,Local,Major,7.04,39.6,121.7,17.5,94.6,1006.2,30.8,1.11,6.8,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.86,53.3,92.2,21.4,75.4,1131.8,27.5,0.98,3647.4,kg_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Major,5.88,38.8,112.1,15.0,189.6,1411.7,25.9,6.05,2358.2,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Minor,5.51,54.7,71.3,57.7,177.0,1114.1,28.4,2.48,15.52,bags_per_acre,Medium
Volta,Tomato,Pectomech,Major,5.59,51.8,91.4,34.0,112.9,1049.5,28.4,2.32,2606.9,kg_per_acre,Medium
Volta,Tomato,Pectomech,Major,6.91,85.9,83.5,14.4,98.2,1251.1,27.3,4.96,1512.1,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,5.91,57.3,123.9,36.4,154.4,991.1,27.8,3.98,12.58,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,7.2,57.2,80.7,54.5,176.3,709.6,27.8,0.86,12.37,bags_per_acre,Medium
Volta,Tomato,Local,Major,5.73,39.2,82.1,25.2,141.0,1034.9,25.4,0.5,1409.4,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,5.92,58.5,123.9,37.9,112.4,1404.5,26.0,2.95,3338.1,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,6.15,10.0,48.8,66.5,92.2,1687.5,27.7,3.53,2000.6,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,6.71,63.3,43.4,25.2,151.8,1069.7,28.3,4.38,1730.9,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.15,17.4,123.7,40.2,56.0,1350.5,25.1,14.91,7.42,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,6.82,52.0,18.3,35.6,163.3,766.3,33.0,3.52,2580.4,kg_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,5.48,44.1,114.7,57.6,293.1,1382.6,25.1,14.02,18.07,bags_per_acre,Medium
Brong-Ahafo,Tomato,Local,Major,7.11,67.7,96.7,39.7,131.5,1226.0,27.0,3.87,1934.7,kg_per_acre,Low
Volta,Tomato,Pectomech,Major,5.82,31.1,122.1,29.9,20.0,1139.3,28.2,5.22,1826.7,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Minor,5.79,37.3,60.8,49.1,80.2,1621.5,26.9,0.5,15.47,bags_per_acre,Medium
Western,Tomato,Pectomech,Major,4.98,38.1,122.4,39.6,135.6,1867.4,25.9,0.58,2243.9,kg_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.45,45.4,151.9,19.6,124.8,1529.6,26.0,1.36,2265.9,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,5.61,37.9,94.1,20.8,20.0,1050.4,27.0,2.72,1423.9,kg_per_acre,Low
Volta,Tomato,Local,Minor,6.2,37.1,24.8,12.9,156.8,1068.1,26.9,1.62,1017.3,kg_per_acre,Low
Northern,Maize,Local,Major,6.33,15.3,127.1,20.9,182.8,1134.4,28.6,0.5,3.75,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.21,59.7,67.1,16.2,265.1,1053.3,27.5,3.04,15.29,bags_per_acre,Medium
Volta,Maize,Local,Minor,5.69,63.2,115.6,39.3,225.9,1095.9,27.4,2.26,8.56,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,6.46,40.0,149.7,29.6,128.8,1265.5,22.9,1.07,21.11,bags_per_acre,Medium
Eastern,Maize,Local,Major,5.84,28.4,60.2,75.4,47.0,1257.3,26.9,1.9,6.93,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,6.2,64.3,84.8,23.7,136.6,1068.2,26.2,1.3,8.57,bags_per_acre,Low
Northern,Tomato,Local,Major,6.4,57.9,50.4,35.6,123.3,796.7,28.2,2.07,1623.3,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,6.71,38.3,44.3,42.6,85.2,1097.3,28.7,0.74,2113.9,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Minor,6.62,57.4,137.5,15.7,107.2,1640.7,26.3,0.63,16.11,bags_per_acre,Medium
Western,Tomato,Local,Major,6.43,39.4,66.0,46.9,130.2,1928.6,26.2,3.2,2252.1,kg_per_acre,Low
Northern,Maize,Local,Minor,4.7,51.6,121.7,54.9,91.6,857.9,28.6,0.87,3.55,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,5.73,44.3,72.2,18.1,34.2,1382.4,28.7,0.5,1785.3,kg_per_acre,Low
Volta,Tomato,Local,Major,5.76,59.1,154.1,61.8,125.9,963.1,27.5,3.75,1713.4,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,6.43,58.2,58.9,27.1,136.9,1232.5,24.6,4.45,16.09,bags_per_acre,Medium
Northern,Maize,Hybrid OPV,Major,7.21,54.7,64.5,2.0,32.1,866.7,31.6,2.17,4.13,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.9,52.3,52.5,2.0,242.7,1135.3,27.2,2.01,11.41,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.79,76.2,130.0,40.3,137.5,1268.4,27.6,0.6,3676.6,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Major,6.32,88.4,109.2,29.4,121.1,1955.7,25.4,3.34,12.04,bags_per_acre,Medium
Northern,Tomato,Pectomech,Major,7.01,58.7,66.2,35.8,70.9,899.7,33.9,8.91,2406.6,kg_per_acre,Low
Eastern,Maize,Local,Major,5.15,65.0,97.5,59.5,147.7,1298.9,27.3,2.87,7.59,bags_per_acre,Low
Western,Tomato,Pectomech,Minor,7.17,41.0,52.4,16.1,197.2,1644.3,24.5,4.78,2427.2,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.75,52.0,20.5,27.8,119.0,1318.9,24.1,2.72,2965.1,kg_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,7.13,51.2,136.5,22.6,168.9,799.6,28.1,0.8,7.23,bags_per_acre,Low
Western,Tomato,Local,Major,6.27,36.0,58.7,37.4,109.8,1556.1,26.6,1.34,1858.2,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.36,53.7,130.3,45.4,131.4,1345.4,26.4,0.5,3385.6,kg_per_acre,Medium
Volta,Maize,Local,Major,5.43,62.1,5.0,11.6,207.7,1065.6,28.1,3.92,4.35,bags_per_acre,Low
Volta,Tomato,Pectomech,Major,6.71,46.4,41.4,2.0,108.2,1162.7,26.8,3.88,1401.9,kg_per_acre,Low
Northern,Tomato,Pectomech,Minor,7.21,73.8,17.5,6.4,190.3,1021.8,30.3,7.79,1192.2,kg_per_acre,Low
Ashanti,Maize,Local,Major,5.63,52.5,103.9,58.3,144.6,1515.5,27.5,1.41,13.77,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Major,5.58,33.6,137.1,23.3,70.3,1806.6,24.8,0.76,13.22,bags_per_acre,Medium
Volta,Maize,Hybrid OPV,Minor,6.79,36.9,143.7,58.4,63.4,1197.8,27.7,1.38,9.98,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,6.44,25.2,60.1,2.0,194.0,1196.0,23.9,0.71,1397.7,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,5.87,33.3,155.3,6.4,105.8,1423.5,28.7,1.75,10.84,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.66,61.5,137.6,40.8,84.1,994.6,28.1,2.78,13.41,bags_per_acre,Medium
Northern,Maize,Local,Major,6.41,13.5,72.4,70.8,130.7,857.0,29.5,0.5,3.72,bags_per_acre,Low
Northern,Maize,Local,Major,5.29,43.8,150.4,40.3,64.1,1042.4,31.3,0.5,6.21,bags_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.72,63.6,91.3,41.1,151.9,1854.0,26.9,1.95,14.95,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Minor,5.57,74.1,105.9,47.5,111.9,897.2,29.2,1.52,13.9,bags_per_acre,Medium
Western,Tomato,Local,Major,6.86,36.8,58.1,5.5,134.7,1809.6,28.1,3.59,1595.1,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.75,46.1,46.5,37.1,165.7,1347.3,29.5,0.5,13.29,bags_per_acre,Medium
Northern,Maize,Local,Major,6.61,66.1,114.8,89.9,90.7,935.3,31.8,1.73,8.48,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Minor,5.95,46.9,93.8,39.0,129.8,1472.9,25.7,2.05,9.05,bags_per_acre,Low
Ashanti,Maize,Local,Major,6.58,44.8,63.4,62.2,20.0,1682.6,26.0,1.58,8.29,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,6.81,56.9,110.4,47.2,193.7,1005.5,29.4,0.5,2624.9,kg_per_acre,Medium
Eastern,Maize,Local,Major,5.86,32.5,99.6,18.6,189.5,1203.1,24.3,10.32,9.06,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.8,30.0,139.7,52.0,121.4,1346.7,26.4,1.41,2918.6,kg_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Minor,6.74,65.2,72.7,28.2,34.8,1660.0,27.8,1.07,10.11,bags_per_acre,Low
Northern,Tomato,Local,Minor,5.88,71.2,90.4,20.1,127.5,891.1,30.3,0.87,1117.4,kg_per_acre,Low
Volta,Maize,Local,Major,6.3,55.6,139.6,2.0,149.4,1152.1,26.5,2.55,8.04,bags_per_acre,Low
Eastern,Maize,Local,Minor,6.15,74.4,70.5,48.9,84.7,1356.1,28.4,4.37,7.11,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,6.55,49.8,110.8,32.2,199.6,855.0,28.0,2.26,2985.9,kg_per_acre,Medium
Volta,Tomato,Local,Major,6.21,58.3,38.3,56.5,121.5,1080.5,27.2,0.5,1404.1,kg_per_acre,Low
Northern,Tomato,Pectomech,Minor,6.7,62.9,96.8,60.5,24.1,985.1,29.2,2.75,1594.0,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Major,6.21,35.7,83.9,65.9,85.0,2284.9,25.8,4.61,16.47,bags_per_acre,Medium
Brong-Ahafo,Maize,Local,Major,6.2,35.8,13.0,49.5,161.8,1274.7,29.2,1.66,6.44,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.14,42.7,81.7,25.1,97.6,1552.9,27.0,2.48,14.12,bags_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Minor,5.41,47.5,76.5,31.6,169.9,1424.6,28.3,1.48,3133.3,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,6.14,53.0,131.5,57.6,98.4,1204.3,26.4,0.54,3660.3,kg_per_acre,Medium
Eastern,Tomato,Local,Major,6.02,41.4,59.2,54.3,75.2,1405.8,27.3,1.46,1873.3,kg_per_acre,Low
Ashanti,Tomato,Pectomech,Major,6.37,75.2,60.6,2.0,112.1,1231.3,25.5,0.5,2147.8,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,6.45,34.9,139.4,47.7,215.7,1091.3,27.3,0.61,2370.6,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.21,34.3,93.3,34.9,201.6,1280.8,28.7,2.39,3221.3,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,6.81,29.3,81.0,22.8,124.2,1318.6,28.0,6.6,2615.3,kg_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Minor,5.86,46.9,148.0,12.6,90.0,1077.0,29.6,3.66,3288.5,kg_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.53,39.1,65.8,2.0,113.8,1025.9,27.3,0.5,2147.8,kg_per_acre,Low
Ashanti,Maize,Local,Major,5.81,51.3,91.0,2.0,129.2,1275.8,25.8,2.66,8.98,bags_per_acre,Low
Western,Maize,Local,Major,5.72,54.2,104.5,41.4,118.0,1884.5,25.4,2.01,11.65,bags_per_acre,Low
Western,Maize,Local,Minor,6.61,29.3,36.8,2.0,91.5,1835.6,26.0,0.5,4.2,bags_per_acre,Low
Volta,Tomato,Local,Major,5.58,58.7,49.1,67.1,174.8,1089.0,29.7,1.13,1522.1,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.5,42.8,93.9,46.0,67.9,1402.2,29.3,6.57,10.82,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.44,27.9,32.2,35.4,128.8,1255.0,30.0,0.54,11.19,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Minor,5.55,61.3,127.9,28.9,62.0,2080.4,25.7,4.19,16.58,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Minor,5.41,38.4,70.2,21.7,136.0,1461.5,26.8,0.54,11.42,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,5.61,49.8,77.5,24.0,152.9,1246.9,27.8,3.67,15.66,bags_per_acre,Medium
Northern,Tomato,F1 Hybrid,Major,8.19,68.2,136.0,5.8,91.1,910.5,28.0,1.28,2154.1,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Major,6.21,80.2,59.0,10.1,32.2,1669.3,27.5,0.5,7.92,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,5.26,25.0,5.0,58.9,44.5,2144.6,26.9,3.43,5.67,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.48,45.2,51.0,37.6,79.0,1092.8,25.8,0.5,9.5,bags_per_acre,Low
Volta,Maize,Local,Minor,5.95,51.2,109.2,6.0,150.3,992.8,26.0,4.19,7.27,bags_per_acre,Low
Western,Maize,Hybrid OPV,Minor,5.79,62.2,113.6,30.6,133.5,1718.2,23.6,1.4,13.98,bags_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Minor,5.89,76.9,133.2,19.5,98.2,1541.6,25.7,0.6,2159.6,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,5.9,44.7,97.9,25.0,199.7,1177.6,28.8,0.91,2716.2,kg_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,5.14,48.2,52.0,13.3,43.7,1020.7,26.1,0.5,7.55,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.62,43.5,101.7,15.5,192.0,1477.8,27.8,5.31,15.67,bags_per_acre,Medium
Northern,Tomato,F1 Hybrid,Minor,7.3,46.4,105.4,13.2,23.3,907.8,30.1,1.62,1977.1,kg_per_acre,Low
Western,Tomato,Local,Major,5.0,38.7,24.3,8.9,156.4,1744.8,26.1,5.78,1044.5,kg_per_acre,Low
Eastern,Tomato,Pectomech,Major,6.04,34.1,57.2,53.5,233.2,1129.9,25.8,2.81,2449.9,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.11,34.8,101.3,36.8,147.9,1201.1,26.7,0.95,6.99,bags_per_acre,Low
Western,Tomato,Local,Major,5.9,62.5,115.5,25.5,100.7,1940.8,26.9,0.5,2196.5,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.6,60.3,42.9,2.3,143.3,1407.6,26.0,1.66,9.61,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Minor,5.12,35.3,135.6,44.7,76.6,1089.9,29.0,5.78,1170.2,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.23,56.4,83.6,30.0,227.0,1174.0,26.9,0.93,3156.6,kg_per_acre,Medium
Eastern,Tomato,Local,Minor,6.16,53.3,87.8,68.5,85.7,1139.6,28.2,1.88,1980.6,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,5.91,59.1,65.8,52.3,82.9,1237.2,29.8,1.06,12.73,bags_per_acre,Medium
Volta,Tomato,Local,Minor,6.88,63.5,87.3,47.3,151.9,967.6,27.3,0.5,1937.5,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,5.5,42.0,61.9,45.5,106.8,860.1,29.1,1.03,7.87,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.42,39.1,75.7,4.5,119.3,1151.2,27.6,0.5,9.53,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.06,66.0,121.8,61.7,116.4,1122.2,27.4,0.5,3588.0,kg_per_acre,Medium
Western,Maize,Local,Major,6.18,50.2,71.8,39.9,156.1,1955.7,27.6,1.29,10.77,bags_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.57,48.0,62.7,41.7,234.3,1282.1,26.9,7.06,11.34,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.91,41.3,127.2,71.2,196.8,1216.9,26.7,0.5,13.08,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Major,4.87,71.9,153.0,17.7,133.8,1956.7,25.5,0.59,9.51,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.08,50.6,97.6,55.7,81.3,863.2,29.6,0.83,9.52,bags_per_acre,Low
Volta,Tomato,Pectomech,Major,5.98,45.6,53.5,2.0,172.5,1205.0,28.5,6.74,1353.3,kg_per_acre,Low
Volta,Maize,Local,Minor,5.76,55.0,33.5,41.1,167.2,1010.0,30.7,1.51,6.98,bags_per_acre,Low
Western,Maize,Local,Major,6.19,53.4,97.0,15.7,126.1,2048.9,23.4,2.04,8.94,bags_per_acre,Low
Ashanti,Maize,Local,Major,5.75,49.5,75.1,11.5,173.8,1588.7,27.0,0.64,8.78,bags_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.92,44.4,108.1,41.7,20.0,1184.1,28.0,0.5,10.48,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,5.95,31.7,92.8,18.6,72.0,1084.8,30.9,0.5,2266.6,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.14,17.1,81.3,39.2,20.0,1195.1,26.7,0.5,1443.7,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Minor,5.51,56.0,98.4,34.1,106.2,1886.3,24.4,2.63,3236.5,kg_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Major,6.87,52.9,14.8,2.0,138.9,1338.0,24.8,2.34,1416.1,kg_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.32,63.3,140.0,22.5,151.5,934.5,29.0,5.01,10.69,bags_per_acre,Low
Eastern,Tomato,Local,Major,5.43,54.7,133.9,24.6,167.2,1294.3,28.7,2.22,1621.0,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Minor,6.03,63.8,123.8,29.3,202.4,734.6,25.4,2.67,7.28,bags_per_acre,Low
Ashanti,Maize,Hybrid OPV,Major,6.15,31.7,108.7,34.3,41.2,1609.7,25.4,4.75,10.09,bags_per_acre,Low
Eastern,Maize,Local,Minor,6.41,46.7,20.8,30.7,154.9,1026.9,25.6,0.66,5.77,bags_per_acre,Low
Western,Tomato,Local,Major,5.68,49.3,32.3,53.9,182.4,1973.6,24.9,1.84,1961.0,kg_per_acre,Low
Ashanti,Tomato,Local,Minor,5.24,78.2,92.1,46.5,56.1,1491.0,28.2,0.51,1586.5,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Major,6.17,66.6,70.8,31.3,69.2,1184.7,27.7,5.46,14.7,bags_per_acre,Medium
Western,Tomato,Local,Major,5.71,70.9,28.3,47.4,42.6,1887.8,25.8,1.01,1822.5,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Minor,5.85,69.7,72.6,28.8,56.9,1636.7,26.6,2.14,3551.7,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Major,5.57,51.3,99.4,2.0,85.6,1713.9,28.1,3.81,9.49,bags_per_acre,Low
Western,Tomato,Local,Major,5.81,49.8,80.4,17.6,42.8,1938.8,26.6,7.33,1641.5,kg_per_acre,Low
